target_idx,train_idx,rank,method
16,18,27,primary
16,256,28,primary
16,267,29,primary
16,153,30,primary
16,178,31,primary
16,7,32,primary
16,78,33,primary
17,150,0,primary
17,8,1,primary
17,248,2,primary
17,82,3,primary
17,281,4,primary
17,12,5,primary
17,36,6,primary
17,246,7,primary
17,54,8,primary
17,218,9,primary
17,185,10,primary
17,270,11,primary
17,225,12,primary
17,116,13,primary
17,148,14,primary
17,214,15,primary
17,101,16,primary
17,222,17,primary
17,125,18,primary
17,249,19,primary
17,266,20,primary
17,109,21,primary
17,262,22,primary
17,140,23,primary
17,15,24,primary
17,1,25,primary
17,80,26,primary
17,118,27,primary
17,104,28,primary
17,160,29,primary
17,182,30,primary
18,281,0,primary
18,218,1,primary
18,12,2,primary
18,36,3,primary
18,185,4,primary
18,246,5,primary
18,225,6,primary
18,116,7,primary
18,214,8,primary
18,148,9,primary
18,101,10,primary
18,222,11,primary
18,248,12,primary
18,8,13,primary
18,150,14,primary
18,82,15,primary
18,125,16,primary
18,266,17,primary
18,109,18,primary
18,140,19,primary
18,15,20,primary
18,54,21,primary
18,1,22,primary
18,80,23,primary
18,118,24,primary
18,104,25,primary
18,270,26,primary
18,160,27,primary
18,182,28,primary
18,249,29,primary
18,262,30,primary
19,186,0,primary
19,23,1,primary
19,16,2,primary
19,241,3,primary
19,247,4,primary
19,139,5,primary
19,168,6,primary
19,4,7,primary
19,278,8,primary
19,174,9,primary
19,208,10,primary
19,96,11,primary
19,3,12,primary
19,210,13,primary
19,76,14,primary
19,280,15,primary
19,277,16,primary
19,93,17,primary
19,11,18,primary
19,75,19,primary
19,46,20,primary
19,144,21,primary
20,24,0,primary
20,209,1,primary
20,6,2,primary
20,157,3,primary
20,138,4,primary
20,40,5,primary
20,44,6,primary
20,285,7,primary
20,199,8,primary
20,166,9,primary
21,190,0,primary
21,32,1,primary
21,154,2,primary
21,231,3,primary
21,170,4,primary
22,193,0,primary
22,58,1,primary
22,206,2,primary
22,42,3,primary
22,147,4,primary
22,67,5,primary
22,83,6,primary
22,237,7,primary
22,264,8,primary
22,251,9,primary
22,234,10,primary
22,21,11,primary
22,111,12,primary
22,207,13,primary
22,241,14,primary
22,164,15,primary
22,278,16,primary
22,55,17,primary
22,123,18,primary
22,180,19,primary
22,106,20,primary
22,39,21,primary
22,79,22,primary
22,102,23,primary
22,203,24,primary
22,86,25,primary
22,186,26,primary
22,23,27,primary
22,16,28,primary
23,217,0,primary
23,176,1,primary
23,143,2,primary
23,197,3,primary
23,172,4,primary
23,110,5,primary
23,269,6,primary
23,276,7,primary
23,73,8,primary
23,141,9,primary
23,19,10,primary
23,162,11,primary
24,28,0,primary
24,22,1,primary
24,129,2,primary
24,204,3,primary
24,265,4,primary
24,232,5,primary
24,224,6,primary
24,119,7,primary
24,230,8,primary
24,105,9,primary
24,258,10,primary
24,216,11,primary
24,0,12,primary
24,29,13,primary
24,51,14,primary
24,17,15,primary
24,2,16,primary
24,20,17,primary
24,27,18,primary
24,272,19,primary
25,197,0,primary
25,217,1,primary
25,143,2,primary
25,110,3,primary
25,176,4,primary
25,238,5,primary
25,244,6,primary
25,121,7,primary
25,162,8,primary
25,87,9,primary
25,283,10,primary
25,269,11,primary
25,276,12,primary
25,73,13,primary
26,175,0,primary
26,286,1,primary
26,171,2,primary
26,43,3,primary
26,181,4,primary
26,137,5,primary
26,72,6,primary
26,254,7,primary
26,13,8,primary
26,146,9,primary
26,227,10,primary
26,196,11,primary
26,261,12,primary
26,275,13,primary
26,57,14,primary
26,215,15,primary
26,68,16,primary
26,5,17,primary
26,98,18,primary
27,97,0,primary
27,273,1,primary
27,34,2,primary
27,253,3,primary
27,250,4,primary
27,223,5,primary
27,179,6,primary
27,284,7,primary
27,114,8,primary
27,30,9,primary
27,62,10,primary
27,99,11,primary
27,70,12,primary
27,252,13,primary
27,117,14,primary
27,165,15,primary
27,92,16,primary
27,260,17,primary
27,290,18,primary
27,243,19,primary
28,179,0,primary
28,250,1,primary
28,114,2,primary
28,284,3,primary
28,223,4,primary
28,34,5,primary
28,253,6,primary
28,273,7,primary
28,260,8,primary
28,92,9,primary
28,290,10,primary
28,243,11,primary
28,99,12,primary
28,165,13,primary
28,252,14,primary
28,117,15,primary
28,62,16,primary
28,70,17,primary
28,274,18,primary
28,97,19,primary
29,114,0,primary
29,34,1,primary
29,273,2,primary
29,253,3,primary
29,250,4,primary
29,223,5,primary
29,179,6,primary
29,284,7,primary
29,290,8,primary
29,260,9,primary
29,92,10,primary
29,243,11,primary
29,99,12,primary
29,165,13,primary
29,117,14,primary
29,252,15,primary
29,62,16,primary
29,70,17,primary
29,274,18,primary
29,97,19,primary
29,56,20,primary
29,30,21,primary
30,61,0,primary
30,178,1,primary
30,153,2,primary
30,50,3,primary
30,85,4,primary
30,267,5,primary
30,287,6,primary
30,279,7,primary
30,229,8,primary
30,256,9,primary
30,84,10,primary
30,81,11,primary
30,18,12,primary
30,64,13,primary
30,78,14,primary
30,236,15,primary
30,107,16,primary
31,141,0,primary
31,172,1,primary
31,288,2,primary
31,177,3,primary
31,87,4,primary
31,66,5,primary
31,283,6,primary
31,115,7,primary
31,205,8,primary
31,159,9,primary
31,60,10,primary
31,41,11,primary
31,191,12,primary
31,94,13,primary
31,176,14,primary
31,143,15,primary
32,173,0,primary
32,107,1,primary
32,257,2,primary
32,213,3,primary
32,64,4,primary
32,136,5,primary
32,49,6,primary
32,195,7,primary
32,242,8,primary
32,156,9,primary
32,194,10,primary
32,263,11,primary
32,287,12,primary
32,81,13,primary
32,18,14,primary
32,183,15,primary
32,78,16,primary
32,126,17,primary
32,108,18,primary
32,155,19,primary
32,153,20,primary
32,235,21,primary
32,279,22,primary
32,61,23,primary
32,85,24,primary
32,178,25,primary
32,50,26,primary
33,273,0,primary
33,34,1,primary
33,253,2,primary
33,250,3,primary
33,223,4,primary
33,179,5,primary
33,284,6,primary
33,114,7,primary
33,252,8,primary
33,99,9,primary
33,97,10,primary
33,165,11,primary
33,92,12,primary
33,290,13,primary
33,260,14,primary
33,62,15,primary
33,30,16,primary
33,117,17,primary
33,243,18,primary
33,70,19,primary
34,143,0,primary
34,176,1,primary
34,197,2,primary
34,172,3,primary
34,110,4,primary
34,217,5,primary
34,269,6,primary
34,73,7,primary
34,276,8,primary
34,141,9,primary
34,19,10,primary
34,162,11,primary
34,288,12,primary
34,87,13,primary
34,161,14,primary
34,25,15,primary
34,115,16,primary
34,100,17,primary
35,11,0,primary
35,277,1,primary
35,208,2,primary
35,186,3,primary
35,23,4,primary
35,278,5,primary
35,93,6,primary
35,144,7,primary
35,16,8,primary
35,241,9,primary
35,46,10,primary
35,135,11,primary
35,127,12,primary
36,64,0,primary
36,107,1,primary
36,257,2,primary
36,213,3,primary
36,173,4,primary
36,242,5,primary
36,136,6,primary
36,49,7,primary
36,195,8,primary
36,194,9,primary
36,156,10,primary
36,263,11,primary
36,287,12,primary
36,81,13,primary
36,18,14,primary
36,183,15,primary
36,108,16,primary
36,78,17,primary
36,153,18,primary
36,126,19,primary
36,155,20,primary
36,279,21,primary
36,235,22,primary
36,61,23,primary
36,85,24,primary
36,178,25,primary
36,50,26,primary
36,267,27,primary
37,267,0,primary
37,153,1,primary
37,50,2,primary
37,85,3,primary
37,84,4,primary
37,287,5,primary
37,256,6,primary
37,178,7,primary
37,131,8,primary
37,279,9,primary
37,233,10,primary
37,26,11,primary
