Rx-MLS,DA3-4-5-6-MLS,DA4-5-1-2-MLS,DA4-5-6-7-MLS,DA9-10-11-14-MLS,DA9-10-11-12-MLS,DA1-5-6-7-MLS,DA1-12-11-14-MLS,DA1-5-4-20-MLS,DA6-5-4-20-MLS,BA1-2-3-MLS,BA3-4-20-MLS,BA1-5-4-MLS,BA5-4-20-MLS,BA5-6-7-MLS,BA7-6-22-MLS,BA10-11-12-MLS,BA10-11-14-MLS,BA1-12-11-MLS,BA5-1-12-MLS,NB1-12-MLS,NB7-12-MLS,BL1-2-MLS,BL5-6-MLS,BL6-7-MLS,BL11-12-MLS,BL4-20-MLS,BL4-19-MLS,BL6-22-MLS,BL10-15-MLS,HOMO-MLS,LUMO-MLS,DM-MLS,q1-MLS,q2-MLS,q3-MLS,q4-MLS,q5-MLS,q6-MLS,q7-MLS,q8-MLS,q9-MLS,q10-MLS,q11-MLS,q12-MLS,q13-MLS,q14-MLS,q15-MLS,q19-MLS,q20-MLS,q22-MLS,NMR1-MLS,NMR2-MLS,NMR3-MLS,NMR4-MLS,NMR5-MLS,NMR6-MLS,NMR7-MLS,NMR8-MLS,NMR9-MLS,NMR10-MLS,NMR11-MLS,NMR12-MLS,NMR13-MLS,NMR14-MLS,NMR15-MLS,NMR19-MLS,NMR20-MLS,NMR22-MLS,L-R14-MLS,B1-R14-MLS,B5-R14-MLS,L-R15-MLS,B1-R15-MLS,B5-R15-MLS,VF(C6=O7)-MLS,VI(C6=O7)-MLS,VF(C9=O13)-MLS,VI(C9=O13)-MLS,VF(C11-H12)-MLS,VI(C11-H12)-MLS,L-Y-MLS,B1-Y-MLS,B5-Y-MLS,L-X-MLS,B1-X-MLS,B5-X-MLS,L-R16-MLS,B1-R16-MLS,B5-R16-MLS,BV-MLS,BV-SW-MLS,BV-NW-MLS,BV-NE-MLS,BV-SE-MLS,Area-MLS,Volume-MLS,PSA-MLS,Ovality-MLS,HOMO-MC,LUMO-MC,DM-MC,Rx-MC,Ry-MC,Volume-MC,PSA-MC,Ovality-MC,q(Pd)-MC,DM-CP,HOMO-CP,LUMO-CP,Rx-CP,BL1-2-CP,BL1-6-CP,BL1-7-CP,NMR1-CP,NMR2-CP,NMR6-CP,NMR7-CP,q1-CP,q2-CP,q6-CP,Area-CP,Volume-CP,PSA-CP,Ovality-CP,Rx-B,Ry-B,Rz-B,DM-B,HOMO-B,LUMO-B,Area-B,Volume-B,PSA-B,Ovality-B,q(Ag)-A,Rx-A,Ry-A,Rz-A,HOMO-A,LUMO-A,DM-A,Area-A,Volume-A,PSA-A,Ovality-A,Eqv(L),Eqv(B),Eqv(A),Time(H)   ,T (?C),DC(Solvent),%ee
0.10853,118.7318751,25.5391682,165.4385748,58.03139,37.3276039,16.22973033,42.74562706,91.96690937,117.887725,112.46455,112.7545891,113.1551588,113.9143028,121.0440265,119.46426,120.7709989,110.65377,122.425388,89.25483006,1.823704524,2.385066702,2.049343718,1.359770035,1.241953341,1.134859793,1.577023038,1.095191079,1.524353403,1.098680604,-0.21929,-0.09484,10.9383,0.56114,-0.52581,0.69361,-0.12057,-0.62468,0.69672,-0.66691,-0.68054,0.70555,-0.34195,-0.63437,0.20466,-0.64231,0.25091,0.2677,0.27898,-0.04788,-0.77758,-528.357,74.5407,16.0949,122.8474,134.4192,22.3764,-80.8969,156.412,19.4992,154.1549,168.4773,35.214,-75.2943,30.2822,28.2511,28.7249,152.604,167.4722,4.13,2.76,3.19,2.97,1.5,2.03,1672.33,397.0936,1736.69,462.0261,2637.19,326.9752,5.44,1.67,5.11,6.37,1.56,7.34,2,1,1,40.3,27.8,50.4,51.2,31.8,566.19,553.97,46.942,1.74,-0.23636,-0.0953,0.0002,1.28712,0.50274,156.91,19.117,1.5,0.33863,2.1645,-0.2381,-0.03507,5.6598,1.394204747,1.393896696,2.162235546,57.4193,61.4749,61.426,45.6754,-0.19474,-0.25161,-0.25165,142.67,124.71,0,1.18,3.86457,1.15122,1.05423,8.6716,-0.25928,-0.04069,111.23,81.85,27.797,1.22,0.73454,4.51342,0.4129,0.37829,-0.19461,-0.09796,6.668,96.06,65.89,39.914,1.22,20,2,2,72,60,4.7113,96
0.10853,118.7318751,25.5391682,165.4385748,58.03139,37.3276039,16.22973033,42.74562706,91.96690937,117.887725,112.46455,112.7545891,113.1551588,113.9143028,121.0440265,119.46426,120.7709989,110.65377,122.425388,89.25483006,1.823704524,2.385066702,2.049343718,1.359770035,1.241953341,1.134859793,1.577023038,1.095191079,1.524353403,1.098680604,-0.21929,-0.09484,10.9383,0.56114,-0.52581,0.69361,-0.12057,-0.62468,0.69672,-0.66691,-0.68054,0.70555,-0.34195,-0.63437,0.20466,-0.64231,0.25091,0.2677,0.27898,-0.04788,-0.77758,-528.357,74.5407,16.0949,122.8474,134.4192,22.3764,-80.8969,156.412,19.4992,154.1549,168.4773,35.214,-75.2943,30.2822,28.2511,28.7249,152.604,167.4722,4.13,2.76,3.19,2.97,1.5,2.03,1672.33,397.0936,1736.69,462.0261,2637.19,326.9752,5.44,1.67,5.11,6.37,1.56,7.34,2,1,1,40.3,27.8,50.4,51.2,31.8,566.19,553.97,46.942,1.74,-0.23636,-0.0953,0.0002,1.28712,0.50274,156.91,19.117,1.5,0.33863,2.6988,-0.23108,-0.03321,5.50443,1.392075857,1.39446225,2.16156297,61.1846,61.7208,61.7185,46.0198,-0.20209,-0.24592,-0.24609,162.65,142.99,0,1.23,3.86457,1.15122,1.05423,8.6716,-0.25928,-0.04069,111.23,81.85,27.797,1.22,0.73454,4.51342,0.4129,0.37829,-0.19461,-0.09796,6.668,96.06,65.89,39.914,1.22,20,2,2,72,60,4.7113,96
0.10853,118.7318751,25.5391682,165.4385748,58.03139,37.3276039,16.22973033,42.74562706,91.96690937,117.887725,112.46455,112.7545891,113.1551588,113.9143028,121.0440265,119.46426,120.7709989,110.65377,122.425388,89.25483006,1.823704524,2.385066702,2.049343718,1.359770035,1.241953341,1.134859793,1.577023038,1.095191079,1.524353403,1.098680604,-0.21929,-0.09484,10.9383,0.56114,-0.52581,0.69361,-0.12057,-0.62468,0.69672,-0.66691,-0.68054,0.70555,-0.34195,-0.63437,0.20466,-0.64231,0.25091,0.2677,0.27898,-0.04788,-0.77758,-528.357,74.5407,16.0949,122.8474,134.4192,22.3764,-80.8969,156.412,19.4992,154.1549,168.4773,35.214,-75.2943,30.2822,28.2511,28.7249,152.604,167.4722,4.13,2.76,3.19,2.97,1.5,2.03,1672.33,397.0936,1736.69,462.0261,2637.19,326.9752,5.44,1.67,5.11,6.37,1.56,7.34,2,1,1,40.3,27.8,50.4,51.2,31.8,566.19,553.97,46.942,1.74,-0.23636,-0.0953,0.0002,1.28712,0.50274,156.91,19.117,1.5,0.33863,3.3224,-0.21675,-0.03208,4.77611,1.390492089,1.397078575,2.159232968,69.0897,60.7725,60.9247,46.2997,-0.22387,-0.23377,-0.23895,172.46,151.82,6.932,1.25,3.86457,1.15122,1.05423,8.6716,-0.25928,-0.04069,111.23,81.85,27.797,1.22,0.73454,4.51342,0.4129,0.37829,-0.19461,-0.09796,6.668,96.06,65.89,39.914,1.22,20,2,2,72,60,4.7113,92
0.10853,118.7318751,25.5391682,165.4385748,58.03139,37.3276039,16.22973033,42.74562706,91.96690937,117.887725,112.46455,112.7545891,113.1551588,113.9143028,121.0440265,119.46426,120.7709989,110.65377,122.425388,89.25483006,1.823704524,2.385066702,2.049343718,1.359770035,1.241953341,1.134859793,1.577023038,1.095191079,1.524353403,1.098680604,-0.21929,-0.09484,10.9383,0.56114,-0.52581,0.69361,-0.12057,-0.62468,0.69672,-0.66691,-0.68054,0.70555,-0.34195,-0.63437,0.20466,-0.64231,0.25091,0.2677,0.27898,-0.04788,-0.77758,-528.357,74.5407,16.0949,122.8474,134.4192,22.3764,-80.8969,156.412,19.4992,154.1549,168.4773,35.214,-75.2943,30.2822,28.2511,28.7249,152.604,167.4722,4.13,2.76,3.19,2.97,1.5,2.03,1672.33,397.0936,1736.69,462.0261,2637.19,326.9752,5.44,1.67,5.11,6.37,1.56,7.34,2,1,1,40.3,27.8,50.4,51.2,31.8,566.19,553.97,46.942,1.74,-0.23636,-0.0953,0.0002,1.28712,0.50274,156.91,19.117,1.5,0.33863,0.3455,-0.23831,-0.03958,2.61505,1.392669911,1.394944768,2.154406471,62.8635,60.1502,59.7348,45.5464,-0.21315,-0.22979,-0.23306,187.67,165.36,6.522,1.29,3.86457,1.15122,1.05423,8.6716,-0.25928,-0.04069,111.23,81.85,27.797,1.22,0.73454,4.51342,0.4129,0.37829,-0.19461,-0.09796,6.668,96.06,65.89,39.914,1.22,20,2,2,72,60,4.7113,94
0.10853,118.7318751,25.5391682,165.4385748,58.03139,37.3276039,16.22973033,42.74562706,91.96690937,117.887725,112.46455,112.7545891,113.1551588,113.9143028,121.0440265,119.46426,120.7709989,110.65377,122.425388,89.25483006,1.823704524,2.385066702,2.049343718,1.359770035,1.241953341,1.134859793,1.577023038,1.095191079,1.524353403,1.098680604,-0.21929,-0.09484,10.9383,0.56114,-0.52581,0.69361,-0.12057,-0.62468,0.69672,-0.66691,-0.68054,0.70555,-0.34195,-0.63437,0.20466,-0.64231,0.25091,0.2677,0.27898,-0.04788,-0.77758,-528.357,74.5407,16.0949,122.8474,134.4192,22.3764,-80.8969,156.412,19.4992,154.1549,168.4773,35.214,-75.2943,30.2822,28.2511,28.7249,152.604,167.4722,4.13,2.76,3.19,2.97,1.5,2.03,1672.33,397.0936,1736.69,462.0261,2637.19,326.9752,5.44,1.67,5.11,6.37,1.56,7.34,2,1,1,40.3,27.8,50.4,51.2,31.8,566.19,553.97,46.942,1.74,-0.23636,-0.0953,0.0002,1.28712,0.50274,156.91,19.117,1.5,0.33863,2.3644,-0.22314,-0.03496,2.84891,1.393759234,1.393695077,2.158816136,58.4494,60.981,60.9532,45.8142,-0.19862,-0.24543,-0.24541,222.8,208.35,0,1.31,3.86457,1.15122,1.05423,8.6716,-0.25928,-0.04069,111.23,81.85,27.797,1.22,0.73454,4.51342,0.4129,0.37829,-0.19461,-0.09796,6.668,96.06,65.89,39.914,1.22,20,2,2,72,60,4.7113,86
0.10853,118.7318751,25.5391682,165.4385748,58.03139,37.3276039,16.22973033,42.74562706,91.96690937,117.887725,112.46455,112.7545891,113.1551588,113.9143028,121.0440265,119.46426,120.7709989,110.65377,122.425388,89.25483006,1.823704524,2.385066702,2.049343718,1.359770035,1.241953341,1.134859793,1.577023038,1.095191079,1.524353403,1.098680604,-0.21929,-0.09484,10.9383,0.56114,-0.52581,0.69361,-0.12057,-0.62468,0.69672,-0.66691,-0.68054,0.70555,-0.34195,-0.63437,0.20466,-0.64231,0.25091,0.2677,0.27898,-0.04788,-0.77758,-528.357,74.5407,16.0949,122.8474,134.4192,22.3764,-80.8969,156.412,19.4992,154.1549,168.4773,35.214,-75.2943,30.2822,28.2511,28.7249,152.604,167.4722,4.13,2.76,3.19,2.97,1.5,2.03,1672.33,397.0936,1736.69,462.0261,2637.19,326.9752,5.44,1.67,5.11,6.37,1.56,7.34,2,1,1,40.3,27.8,50.4,51.2,31.8,566.19,553.97,46.942,1.74,-0.23636,-0.0953,0.0002,1.28712,0.50274,156.91,19.117,1.5,0.33863,2.5469,-0.22466,-0.03448,1.27735,1.394739793,1.39391945,2.158717117,66.6233,60.3273,60.4724,46.0468,-0.21758,-0.23888,-0.23734,261.17,237.23,6.425,1.41,3.86457,1.15122,1.05423,8.6716,-0.25928,-0.04069,111.23,81.85,27.797,1.22,0.73454,4.51342,0.4129,0.37829,-0.19461,-0.09796,6.668,96.06,65.89,39.914,1.22,20,2,2,72,60,4.7113,88
0.10853,118.7318751,25.5391682,165.4385748,58.03139,37.3276039,16.22973033,42.74562706,91.96690937,117.887725,112.46455,112.7545891,113.1551588,113.9143028,121.0440265,119.46426,120.7709989,110.65377,122.425388,89.25483006,1.823704524,2.385066702,2.049343718,1.359770035,1.241953341,1.134859793,1.577023038,1.095191079,1.524353403,1.098680604,-0.21929,-0.09484,10.9383,0.56114,-0.52581,0.69361,-0.12057,-0.62468,0.69672,-0.66691,-0.68054,0.70555,-0.34195,-0.63437,0.20466,-0.64231,0.25091,0.2677,0.27898,-0.04788,-0.77758,-528.357,74.5407,16.0949,122.8474,134.4192,22.3764,-80.8969,156.412,19.4992,154.1549,168.4773,35.214,-75.2943,30.2822,28.2511,28.7249,152.604,167.4722,4.13,2.76,3.19,2.97,1.5,2.03,1672.33,397.0936,1736.69,462.0261,2637.19,326.9752,5.44,1.67,5.11,6.37,1.56,7.34,2,1,1,40.3,27.8,50.4,51.2,31.8,566.19,553.97,46.942,1.74,-0.23636,-0.0953,0.0002,1.28712,0.50274,156.91,19.117,1.5,0.33863,1.9363,-0.23543,-0.03496,1.05419,1.392427097,1.395605824,2.160353757,58.5465,61.8324,60.9141,45.7614,-0.19721,-0.24519,-0.24462,283.81,255.95,6.508,1.46,3.86457,1.15122,1.05423,8.6716,-0.25928,-0.04069,111.23,81.85,27.797,1.22,0.73454,4.51342,0.4129,0.37829,-0.19461,-0.09796,6.668,96.06,65.89,39.914,1.22,20,2,2,72,60,4.7113,92
0.10853,118.7318751,25.5391682,165.4385748,58.03139,37.3276039,16.22973033,42.74562706,91.96690937,117.887725,112.46455,112.7545891,113.1551588,113.9143028,121.0440265,119.46426,120.7709989,110.65377,122.425388,89.25483006,1.823704524,2.385066702,2.049343718,1.359770035,1.241953341,1.134859793,1.577023038,1.095191079,1.524353403,1.098680604,-0.21929,-0.09484,10.9383,0.56114,-0.52581,0.69361,-0.12057,-0.62468,0.69672,-0.66691,-0.68054,0.70555,-0.34195,-0.63437,0.20466,-0.64231,0.25091,0.2677,0.27898,-0.04788,-0.77758,-528.357,74.5407,16.0949,122.8474,134.4192,22.3764,-80.8969,156.412,19.4992,154.1549,168.4773,35.214,-75.2943,30.2822,28.2511,28.7249,152.604,167.4722,4.13,2.76,3.19,2.97,1.5,2.03,1672.33,397.0936,1736.69,462.0261,2637.19,326.9752,5.44,1.67,5.11,6.37,1.56,7.34,2,1,1,40.3,27.8,50.4,51.2,31.8,566.19,553.97,46.942,1.74,-0.23636,-0.0953,0.0002,1.28712,0.50274,156.91,19.117,1.5,0.33863,1.9452,-0.23551,-0.03511,0.97377,1.392973405,1.394976514,2.160130554,59.0624,61.4278,60.9661,45.7926,-0.19922,-0.24531,-0.24406,274.7,254.69,6.346,1.41,3.86457,1.15122,1.05423,8.6716,-0.25928,-0.04069,111.23,81.85,27.797,1.22,0.73454,4.51342,0.4129,0.37829,-0.19461,-0.09796,6.668,96.06,65.89,39.914,1.22,20,2,2,72,60,4.7113,88
0.10853,118.7318751,25.5391682,165.4385748,58.03139,37.3276039,16.22973033,42.74562706,91.96690937,117.887725,112.46455,112.7545891,113.1551588,113.9143028,121.0440265,119.46426,120.7709989,110.65377,122.425388,89.25483006,1.823704524,2.385066702,2.049343718,1.359770035,1.241953341,1.134859793,1.577023038,1.095191079,1.524353403,1.098680604,-0.21929,-0.09484,10.9383,0.56114,-0.52581,0.69361,-0.12057,-0.62468,0.69672,-0.66691,-0.68054,0.70555,-0.34195,-0.63437,0.20466,-0.64231,0.25091,0.2677,0.27898,-0.04788,-0.77758,-528.357,74.5407,16.0949,122.8474,134.4192,22.3764,-80.8969,156.412,19.4992,154.1549,168.4773,35.214,-75.2943,30.2822,28.2511,28.7249,152.604,167.4722,4.13,2.76,3.19,2.97,1.5,2.03,1672.33,397.0936,1736.69,462.0261,2637.19,326.9752,5.44,1.67,5.11,6.37,1.56,7.34,2,1,1,40.3,27.8,50.4,51.2,31.8,566.19,553.97,46.942,1.74,-0.23636,-0.0953,0.0002,1.28712,0.50274,156.91,19.117,1.5,0.33863,0.4985,-0.23168,-0.03667,0.24495,1.393905669,1.394983226,2.158830315,59.0973,60.5773,61.4601,45.7295,-0.19762,-0.24687,-0.24532,364.56,343.4,17.317,1.54,3.86457,1.15122,1.05423,8.6716,-0.25928,-0.04069,111.23,81.85,27.797,1.22,0.73454,4.51342,0.4129,0.37829,-0.19461,-0.09796,6.668,96.06,65.89,39.914,1.22,20,2,2,72,60,4.7113,88
0.10853,118.7318751,25.5391682,165.4385748,58.03139,37.3276039,16.22973033,42.74562706,91.96690937,117.887725,112.46455,112.7545891,113.1551588,113.9143028,121.0440265,119.46426,120.7709989,110.65377,122.425388,89.25483006,1.823704524,2.385066702,2.049343718,1.359770035,1.241953341,1.134859793,1.577023038,1.095191079,1.524353403,1.098680604,-0.21929,-0.09484,10.9383,0.56114,-0.52581,0.69361,-0.12057,-0.62468,0.69672,-0.66691,-0.68054,0.70555,-0.34195,-0.63437,0.20466,-0.64231,0.25091,0.2677,0.27898,-0.04788,-0.77758,-528.357,74.5407,16.0949,122.8474,134.4192,22.3764,-80.8969,156.412,19.4992,154.1549,168.4773,35.214,-75.2943,30.2822,28.2511,28.7249,152.604,167.4722,4.13,2.76,3.19,2.97,1.5,2.03,1672.33,397.0936,1736.69,462.0261,2637.19,326.9752,5.44,1.67,5.11,6.37,1.56,7.34,2,1,1,40.3,27.8,50.4,51.2,31.8,566.19,553.97,46.942,1.74,-0.23636,-0.0953,0.0002,1.28712,0.50274,156.91,19.117,1.5,0.33863,0.4839,-0.23663,-0.03818,5.63446,1.395278938,1.394956458,2.156927051,64.4985,60.0201,59.972,45.6804,-0.21691,-0.23554,-0.23559,148.37,129.29,0,1.2,3.86457,1.15122,1.05423,8.6716,-0.25928,-0.04069,111.23,81.85,27.797,1.22,0.73454,4.51342,0.4129,0.37829,-0.19461,-0.09796,6.668,96.06,65.89,39.914,1.22,20,2,2,72,60,4.7113,92
